team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Orlando Magic,ORL,Michael Carter-Williams,31,8,4,4,97.25734292939117
Orlando Magic,ORL,E'Twaun Moore,27,4,1,1,85.64128250016209
Detroit Pistons,DET,Blake Griffin,46,11,4,3,2170.8076768488745
Detroit Pistons,DET,Jerami Grant,54,22,4,2,1339.7642015005358
Detroit Pistons,DET,Kelly Olynyk,70,13,7,2,816.9293944265809
Detroit Pistons,DET,DeAndre Jordan,57,7,7,1,176.96215166130762
Detroit Pistons,DET,Killian Hayes,26,6,2,5,373.30385852090035
Detroit Pistons,DET,Hamidou Diallo,52,11,5,1,348.33869239013933
Detroit Pistons,DET,Josh Jackson,62,13,4,2,335.2994372990354
Detroit Pistons,DET,Cory Joseph,63,8,2,3,328.91211146838157
Detroit Pistons,DET,Isaiah Stewart,68,7,6,0,219.5257234726688
Detroit Pistons,DET,Frank Jackson,40,9,2,0,200.96463022508038
Detroit Pistons,DET,Dewayne Dedmon,16,7,5,0,352.11066452304397
Detroit Pistons,DET,Saddiq Bey,70,12,4,1,189.19614147909968
Houston Rockets,HOU,John Wall,40,20,3,6,1609.372026295718
Houston Rockets,HOU,Eric Gordon,27,17,2,2,661.7084226201285
Houston Rockets,HOU,Christian Wood,41,21,9,1,496.3740602186467
Houston Rockets,HOU,Daniel Theis,65,9,5,1,304.0748556277921
Houston Rockets,HOU,D.J. Augustin,57,7,1,3,254.2403661061272
Houston Rockets,HOU,Avery Bradley,27,6,2,1,310.84302473395564
Houston Rockets,HOU,David Nwaba,30,9,3,1,168.88824319907022
Houston Rockets,HOU,Danuel House,36,8,3,1,141.43028365960848
Houston Rockets,HOU,Sekou Doumbouya,56,5,2,0,NA
