"","Rk","Player","Tm","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","Signed Using","Guaranteed\"
"178","184","Cameron Payne\\payneca01","PHO",6500000,6e+06,6500000,NA,NA,NA,"Early Bird","$14500000\"
"179","185","Joakim Noah\\noahjo01","NYK",6431666,NA,NA,NA,NA,NA,NA,"$6431666\"
"180","186","Jarrett Culver\\culveja01","MEM",6395160,8109063,NA,NA,NA,NA,"1st Round Pick","$6395160\"
"181","187","Khem Birch\\birchkh01","TOR",6350000,6667750,6985000,NA,NA,NA,"MLE","$20002750\"
"182","188","Collin Sexton\\sextoco01","CLE",6349671,NA,NA,NA,NA,NA,"1st Round Pick","$6349671\"
"183","189","Onyeka Okongwu\\okongon01","ATL",6104280,6395160,8109063,NA,NA,NA,"1st Round Pick","$6104280\"
"184","190","Justin Holiday\\holidju01","IND",6006420,6292440,NA,NA,NA,NA,"Non Bird","$12298860\"
"185","192","Avery Bradley\\bradlav01","HOU",8558441,NA,NA,NA,NA,NA,NA,"\"
"186","193","Rudy Gay\\gayru01","UTA",5890000,6184500,6479000,NA,NA,NA,"Mini MLE","$12074500\"
"187","194","Patty Mills\\millspa02","BRK",5890000,6184500,NA,NA,NA,NA,"Mini MLE","$5890000\"
"188","196","Kevin Knox\\knoxke01","NYK",5845978,NA,NA,NA,NA,NA,"1st Round Pick","$5845978\"
"189","197","Coby White\\whiteco01","CHI",5837760,7413955,NA,NA,NA,NA,"1st Round Pick","$5837760\"
"190","198","Timofey Mozgov\\mozgoti01","ORL",5573334,NA,NA,NA,NA,NA,NA,"$5573334\"
"191","199","Killian Hayes\\hayeski01","DET",5572680,5837760,7413955,NA,NA,NA,"1st Round Pick","$11410440\"
"192","200","Mikal Bridges\\bridgmi01","PHO",5557725,NA,NA,NA,NA,NA,"1st Round Pick","$5557725\"
"193","201","Shai Gilgeous-Alexander\\gilgesh01","OKC",5495532,29750000,32130000,34510000,36890000,39270000,"1st Round Pick","$178045532\"
"194","203","Miles Bridges\\bridgmi02","CHO",5421493,NA,NA,NA,NA,NA,"1st Round Pick","$5421493\"
"195","204","Jaxson Hayes\\hayesja02","NOP",5348280,6803012,NA,NA,NA,NA,"1st Round Pick","$12151292\"
"196","205","Pat Connaughton\\connapa01","MIL",5333333,5728395,NA,NA,NA,NA,"Early Bird","$5333333\"
"197","206","Michael Porter Jr.\\portemi01","DEN",5258735,29750000,32130000,34510000,36890000,39270000,"1st Round Pick","$150538735\"
"198","207","Ryan Anderson\\anderry01","MIA",5214584,NA,NA,NA,NA,NA,NA,"$5214584\"
"199","208","Hamidou Diallo\\diallha01","DET",5200000,5200000,NA,NA,NA,NA,"Bird","$5200000\"
"200","209","Kevon Looney\\looneke01","GSW",5178572,NA,NA,NA,NA,NA,"Bird Rights","$5178572\"
"201","210","Troy Brown Jr.\\browntr01","CHI",5170564,NA,NA,NA,NA,NA,"1st Round Pick","$5170564\"
"202","211","Obi Toppin\\toppiob01","NYK",5105160,5348280,6803012,NA,NA,NA,"1st Round Pick","$5105160\"
"203","213","Kris Dunn\\dunnkr01","MEM",5005350,NA,NA,NA,NA,NA,"Room Exception","$5005350\"
"204","214","Josh Jackson\\jacksjo02","DET",5005350,NA,NA,NA,NA,NA,"Room Exception","$5005350\"
"205","215","JaVale McGee\\mcgeeja01","PHO",5e+06,NA,NA,NA,NA,NA,"MLE","$5000000\"
"206","216","Robin Lopez\\lopezro01","ORL",5e+06,NA,NA,NA,NA,NA,"MLE","$5000000\"
"207","217","Kendrick Nunn\\nunnke01","LAL",5e+06,5250000,NA,NA,NA,NA,"Mini MLE","$5000000\"
"208","218","Lou Williams\\willilo02","ATL",5e+06,NA,NA,NA,NA,NA,"Bird","$5000000\"
"209","219","Luol Deng\\denglu01","LAL",4990000,NA,NA,NA,NA,NA,NA,"$4990000\"
"210","220","Rui Hachimura\\hachiru01","WAS",4916160,6263188,NA,NA,NA,NA,"1st Round Pick","$4916160\"
"211","221","Garrett Temple\\templga01","NOP",4910000,5155500,5401000,NA,NA,NA,"Sign and Trade","$10065500\"
"212","222","Cory Joseph\\josepco01","DET",4910000,5155000,NA,NA,NA,NA,"Room Exception","$7310000\"
"213","223","Taj Gibson\\gibsota01","NYK",4910000,5155500,NA,NA,NA,NA,"Room Exception","$4910000\"
"214","224","Torrey Craig\\craigto01","IND",4878049,5121951,NA,NA,NA,NA,"MLE","$10000000\"
"215","225","Rajon Rondo\\rondora01","MEM",2641691,NA,NA,NA,NA,NA,NA,"$4858309\"
"216","226","Bruce Brown\\brownbr01","BRK",4736102,NA,NA,NA,NA,NA,NA,"$4736102\"
"217","227","Deni Avdija\\avdijde01","WAS",4692840,4916160,6263188,NA,NA,NA,"1st Round Pick","$4692840\"
"218","228","Donte DiVincenzo\\divindo01","MIL",4675830,NA,NA,NA,NA,NA,"1st Round Pick","$4675830\"
"219","229","Cam Reddish\\reddica01","ATL",4670160,5954454,NA,NA,NA,NA,"1st Round Pick","$4670160\"
"220","230","David Nwaba\\nwabada01","HOU",4650000,5022000,5394000,NA,NA,NA,"Early Bird","$9672000\"
"221","231","Furkan Korkmaz\\korkmfu01","PHI",4629630,5e+06,5370370,NA,NA,NA,"Bird","$15000000\"
"222","233","Bryn Forbes\\forbebr01","SAS",4500000,NA,NA,NA,NA,NA,"Room Exception","$4500000\"
"223","234","Jeff Green\\greenje02","DEN",4500000,4500000,NA,NA,NA,NA,"MLE","$4500000\"
"224","235","Ish Smith\\smithis01","CHO",4500000,4725000,NA,NA,NA,NA,"Room Exception","$4500000\"
"225","236","Jalen Smith\\smithja04","PHO",4458000,4670160,5954454,NA,NA,NA,"1st Round Pick","$4458000\"
"226","237","Lonnie Walker\\walkelo01","SAS",4447896,NA,NA,NA,NA,NA,"1st Round Pick","$4447896\"
"227","238","Cameron Johnson\\johnsca02","PHO",4437000,5887899,NA,NA,NA,NA,"1st Round Pick","$4437000\"
"228","240","Maurice Harkless\\harklma01","SAC",4347600,4564980,NA,NA,NA,NA,"Non Bird","$8912580\"
"229","241","Bobby Portis\\portibo01","MIL",8151750,4564980,NA,NA,NA,NA,"Non Bird","$4347600\"
"230","242","Jarred Vanderbilt\\vandeja01","MIN",4259259,4600000,4940741,NA,NA,NA,"Bird","$13800000\"
"231","243","Kevin Huerter\\huertke01","ATL",4253357,NA,NA,NA,NA,NA,"1st Round Pick","$4253357\"
"232","244","Devin Vassell\\vassede01","SAS",4235160,4437000,5887899,NA,NA,NA,"1st Round Pick","$4235160\"
"233","245","P.J. Washington\\washipj01","CHO",4215120,5808435,NA,NA,NA,NA,"1st Round Pick","$4215120\"
