team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
Golden State Warriors,GSW,94601,39601,11,Klay Thompson,37980720,thompkl01,https://www.basketball-reference.com/players/t/thompkl01.html,0,0,0,0
Golden State Warriors,GSW,94601,39601,25,Andrew Wiggins,31579390,wiggian01,https://www.basketball-reference.com/players/w/wiggian01.html,71,18,4,2
Golden State Warriors,GSW,94601,39601,45,Draymond Green,24026712,greendr01,https://www.basketball-reference.com/players/g/greendr01.html,63,7,7,8
Golden State Warriors,GSW,94601,39601,143,James Wiseman,9166800,wisemja01,https://www.basketball-reference.com/players/w/wisemja01.html,39,11,5,0
Golden State Warriors,GSW,94601,39601,209,Kevon Looney,5178572,looneke01,https://www.basketball-reference.com/players/l/looneke01.html,61,4,5,2
Memphis Grizzlies,MEM,38109,14742,76,Steven Adams,17073171,adamsst01,https://www.basketball-reference.com/players/a/adamsst01.html,58,7,8,1
Memphis Grizzlies,MEM,38109,14742,104,Justise Winslow,16902439,winslju01,https://www.basketball-reference.com/players/w/winslju01.html,26,6,4,1
Memphis Grizzlies,MEM,38109,14742,111,Dillon Brooks,12200000,brookdi01,https://www.basketball-reference.com/players/b/brookdi01.html,67,17,2,2
Memphis Grizzlies,MEM,38109,14742,131,Kyle Anderson,9937150,anderky01,https://www.basketball-reference.com/players/a/anderky01.html,69,12,5,3
Memphis Grizzlies,MEM,38109,14742,138,Ja Morant,9603360,moranja01,https://www.basketball-reference.com/players/m/moranja01.html,63,19,4,7
Memphis Grizzlies,MEM,38109,14742,142,Jaren Jackson Jr.,9180560,jacksja02,https://www.basketball-reference.com/players/j/jacksja02.html,11,14,5,1
Memphis Grizzlies,MEM,38109,14742,156,De'Anthony Melton,8437500,meltode01,https://www.basketball-reference.com/players/m/meltode01.html,52,9,3,2
Memphis Grizzlies,MEM,38109,14742,170,Tyus Jones,7522200,jonesty01,https://www.basketball-reference.com/players/j/jonesty01.html,70,6,2,3
Memphis Grizzlies,MEM,38109,14742,186,Jarrett Culver,6395160,culveja01,https://www.basketball-reference.com/players/c/culveja01.html,34,5,3,0
Memphis Grizzlies,MEM,38109,14742,213,Kris Dunn,5005350,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01.html,4,1,1,0
Memphis Grizzlies,MEM,38109,14742,225,Rajon Rondo,2641691,rondora01,https://www.basketball-reference.com/players/r/rondora01.html,45,5,2,4
Memphis Grizzlies,MEM,38109,14742,302,Brandon Clarke,2726880,clarkbr01,https://www.basketball-reference.com/players/c/clarkbr01.html,59,10,5,1
Washington Wizards,WAS,20011,38579,18,Bradley Beal,34502130,bealbr01,https://www.basketball-reference.com/players/b/bealbr01.html,60,31,4,4
Washington Wizards,WAS,20011,38579,74,Spencer Dinwiddie,17142857,dinwisp01,https://www.basketball-reference.com/players/d/dinwisp01.html,3,6,4,3
Washington Wizards,WAS,20011,38579,80,Davis Bertans,16000000,bertada01,https://www.basketball-reference.com/players/b/bertada01.html,57,11,2,0
Washington Wizards,WAS,20011,38579,102,Kentavious Caldwell-Pope,13038862,caldwke01,https://www.basketball-reference.com/players/c/caldwke01.html,67,9,2,1
Washington Wizards,WAS,20011,38579,103,Kyle Kuzma,13000000,kuzmaky01,https://www.basketball-reference.com/players/k/kuzmaky01.html,68,12,6,1
Washington Wizards,WAS,20011,38579,135,Montrezl Harrell,9720900,harremo01,https://www.basketball-reference.com/players/h/harremo01.html,69,13,6,1
Washington Wizards,WAS,20011,38579,150,Thomas Bryant,8730159,bryanth01,https://www.basketball-reference.com/players/b/bryanth01.html,10,14,6,1
Washington Wizards,WAS,20011,38579,220,Rui Hachimura,4916160,hachiru01,https://www.basketball-reference.com/players/h/hachiru01.html,57,13,5,1
Washington Wizards,WAS,20011,38579,227,Deni Avdija,4692840,avdijde01,https://www.basketball-reference.com/players/a/avdijde01.html,54,6,4,1
Washington Wizards,WAS,20011,38579,257,Aaron Holiday,3980551,holidaa01,https://www.basketball-reference.com/players/h/holidaa01.html,66,7,1,1
Indiana Pacers,IND,46227,36452,49,Malcolm Brogdon,21700000,brogdma01,https://www.basketball-reference.com/players/b/brogdma01.html,56,21,5,5
Indiana Pacers,IND,46227,36452,63,Domantas Sabonis,18562500,sabondo01,https://www.basketball-reference.com/players/s/sabondo01.html,62,20,12,6
Indiana Pacers,IND,46227,36452,67,Myles Turner,18000000,turnemy01,https://www.basketball-reference.com/players/t/turnemy01.html,47,12,6,1
Indiana Pacers,IND,46227,36452,71,Caris LeVert,17500000,leverca01,https://www.basketball-reference.com/players/l/leverca01.html,47,20,4,5
Indiana Pacers,IND,46227,36452,107,T.J. Warren,12690000,warretj01,https://www.basketball-reference.com/players/w/warretj01.html,4,15,3,1
Indiana Pacers,IND,46227,36452,122,Jeremy Lamb,10500000,lambje01,https://www.basketball-reference.com/players/l/lambje01.html,36,10,3,1
